90,Married,03,00,03,07,Single detached,2,3,Mortgage,1950-1959,1500,050,No,Gas,1100,Other European
Sub 1,000092900,Female Head,04,00,05,05,Single detached,2,2,Mortgage,1940-1949,2200,310,Yes,Gas,0610,Spanish
Sub 1,000092900,Married,04,00,02,10,Single detached,2,0,Mortgage,Before 1939,390,160,No,Gas,0190,English
Sub 1,000092900,Married,08,02,07,09,Single detached,3,3,Mortgage,1980-1989,1600,180,No,Oil,1200,Spanish
Sub 1,000092980,Married,05,01,06,13,Single detached,3,2,Mortgage,Before 1939,1400,580,Yes,Gas,0900,Spanish
Sub 1,000093000,Female Head,03,00,02,07,Single detached,2,2,Mortgage,1940-1949,1000,300,No,Gas,0600,English
Sub 1,000093000,Female Head,03,01,02,06,Single detached,1,1,Mortgage,1950-1959,550,110,No,Gas,0500,English
Sub 1,000093000,Female Head,04,02,03,12,Single detached,1,1,Mortgage,2008,2300,050,No,Gas,0,English
Sub 1,000093000,Female Head,08,01,04,12,Single detached,3,1,Mortgage,1960-1969,2500,400,Yes,Gas,1900,Other European
Sub 1,000093000,Male Head,04,00,02,06,Single attached,3,1,Mortgage,1960-1969,3000,150,No,Gas,1000,English
Sub 1,000093000,Married,02,00,02,05,Single detached,0,2,Mortgage,1960-1969,1000,150,No,Gas,0600,English
Sub 1,000093000,Married,02,00,02,06,Single attached,2,2,Mortgage,1980-1989,800,250,No,Gas,0300,English
Sub 1,000093000,Married,03,00,02,05,Single detached,2,2,Mortgage,1940-1949,480,060,No,Oil,0600,English
Sub 1,000093000,Married,03,00,02,05,Single detached,2,2,Mortgage,1980-1989,100,190,No,Wood,0810,English
Sub 1,000093000,Married,03,00,02,06,Single attached,1,1,Mortgage,1990-1999,1600,190,No,Gas,1000,English
Sub 1,000093000,Married,03,00,02,06,Single detached,2,0,Mortgage,1950-1959,2200,180,No,Oil,2400,Other European
Sub 1,000093000,Married,03,00,02,06,Single detached,2,0,Mortgage,1950-1959,2000,150,No,Oil,1000,English
Sub 1,000093000,Married,03,00,02,06,Single detached,2,2,Mortgage,Before 1939,1100,300,No,Gas,0480,English
Sub 1,000093000,Married,03,00,02,06,Single detached,3,2,Mortgage,1940-1949,610,090,No,Oil,0750,English
Sub 1,000093000,Married,03,00,02,06,Single detached,3,2,Mortgage,1980-1989,730,500,No,Gas,0600,English
Sub 1,000093000,Married,03,00,02,07,Single attached,2,2,Mortgage,1940-1949,900,150,No,Oil,0700,English
Sub 1,000093000,Married,03,00,02,07,Single detached,1,1,Mortgage,Before 1939,2400,100,No,Gas,2500,English
Sub 1,000093000,Married,03,00,02,07,Single detached,2,2,Mortgage,1940-1949,560,220,No,Gas,0,English
Sub 1,000093000,Married,03,00,03,05,Single detached,3,3,Mortgage,1950-1959,700,100,No,Gas,0600,Other European
Sub 1,000093000,Married,03,00,03,07,Single detached,3,3,Mortgage,Before 1939,480,100,No,Oil,0680,English
Sub 1,000093000,Married,03,00,04,06,Single attached,3,2,Mortgage,1960-1969,3000,150,No,Gas,0800,Asian Pacific
Sub 1,000093000,Married,03,00,04,09,Single detached,3,2,Rented,Before 1939,800,090,No,Gas,0,English
Sub 1,000093000,Married,03,00,05,06,Single detached,5,2,Mortgage,Before 1939,500,190,No,Gas,1500,Asian Pacific
Sub 1,000093000,Married,03,01,03,05,Single detached,1,2,Mortgage,1980-1989,2700,160,No,Gas,0370,English
Sub 1,000093000,Married,03,01,03,08,Single detached,2,2,Mortgage,Before 1939,1000,080,No,Gas,0600,English
Sub 1,000093000,Married,03,01,03,08,Single detached,2,2,Mortgage,Before 1939,880,240,No,Gas,0580,English
Sub 1,000093000,Married,03,02,04,07,Single detached,2,2,Mortgage,1950-1959,650,240,No,Gas,0300,English
Sub 1,000093000,Married,03,02,04,07,Single detached,2,2,Mortgage,1990-1999,540,030,No,Gas,0720,English
Sub 1,000093000,Married,03,02,04,07,Single detached,2,2,Mortgage,Before 1939,400,100,No,Gas,1000,English
Sub 1,000093000,Married,03,02,04,07,Single detached,3,2,Mortgage,1950-1959,400,150,No,Oil,0600,English
Sub 1,000093000,Married,03,02,05,12,Single detached,3,3,Mortgage,2000-2004,2700,240,No,Gas,0980,Spanish
Sub 1,000093000,Married,03,03,05,06,Single detached,2,2,Mortgage,1940-1949,870,370,No,Gas,0700,English
